reward_quality,smooth_penalty,rebuf_penalty,sum_reward
119.9,95.3,630,-605.0
148.6,117.6,424,-393.0
144.0,126.7,367,-350.0
104.0,102.4,349,-348.0
117.5,107.0,336,-325.0
118.0,115.4,459,-457.0
112.4,126.5,342,-357.0
107.7,93.7,353,-339.0
99.1,98.8,259,-259.0
119.9,106.6,199,-186.0
117.5,115.9,250,-248.0
112.0,118.7,89,-96.0
84.3,90.4,154,-160.0
95.0,93.7,123,-122.0
83.8,79.0,65,-60.0
90.9,96.7,77,-83.0
81.6,79.5,69,-66.0
73.0,72.4,0,1.0
94.8,95.2,54,-54.0
90.4,74.4,0,16.0
96.4,96.5,42,-42.0
93.1,107.5,64,-79.0
92.1,99.2,23,-30.0
99.4,96.5,42,-39.0
106.8,99.5,14,-7.0
106.3,108.3,122,-124.0
62.7,83.3,31,-52.0
95.9,102.4,14,-20.0
95.2,98.9,49,-53.0
74.0,76.2,213,-215.0
76.6,76.8,22,-23.0
88.0,85.3,50,-48.0
77.4,84.5,9,-16.0
89.0,98.9,17,-27.0
78.2,88.9,17,-27.0
83.6,73.1,0,10.0
97.2,85.6,0,12.0
96.8,87.0,31,-21.0
78.0,89.1,15,-27.0
73.5,72.6,10,-9.0
89.9,115.4,0,-26.0
109.1,78.3,9,22.0
88.3,87.7,9,-8.0
106.5,105.9,9,-9.0
87.5,73.4,4,10.0
110.2,75.0,6,29.0
115.0,102.3,31,-18.0
83.2,95.7,40,-52.0
131.2,98.9,3,29.0
87.9,92.2,40,-45.0
103.3,98.2,22,-17.0
97.8,90.8,22,-15.0
94.7,92.7,67,-65.0
118.8,116.9,0,2.0
92.9,84.1,76,-67.0
96.0,79.6,5,12.0
100.2,99.2,96,-95.0
105.6,104.9,73,-72.0
113.3,86.3,94,-67.0
96.7,81.2,14,2.0
85.0,83.6,71,-69.0
96.3,116.9,31,-52.0
119.4,115.9,7,-3.0
88.2,76.0,130,-118.0
92.6,75.7,69,-52.0
113.2,105.0,36,-28.0
98.1,94.0,13,-9.0
108.2,101.4,53,-46.0
90.5,89.8,11,-10.0
94.9,82.9,26,-14.0
96.3,88.5,7,1.0
125.6,107.6,44,-26.0
115.1,113.5,52,-50.0
88.7,109.4,39,-60.0
87.0,75.6,0,11.0
98.6,88.0,7,4.0
96.5,89.1,35,-28.0
85.2,74.2,11,-0.0
87.1,85.8,10,-8.0
90.0,92.6,39,-41.0
91.0,97.3,0,-7.0
107.6,82.1,1,24.0
110.8,99.0,77,-65.0
89.6,76.8,0,13.0
101.8,87.0,7,8.0
103.3,95.9,0,7.0
101.7,94.2,2,5.0
88.4,100.6,0,-12.0
96.9,96.2,0,0.0
109.5,113.6,17,-21.0
107.6,75.3,49,-16.0
105.9,113.5,0,-8.0
100.9,85.5,8,8.0
94.3,92.5,2,-0.0
95.0,104.7,9,-18.0
95.6,79.0,8,9.0
99.2,104.4,12,-17.0
94.6,97.3,24,-27.0
103.1,111.6,46,-54.0
85.8,94.1,0,-8.0
103.6,98.1,0,6.0
102.2,99.4,42,-40.0
109.5,93.5,4,12.0
120.3,98.5,3,19.0
96.8,73.3,9,15.0
98.8,87.0,4,8.0
115.0,93.7,22,-1.0
99.1,88.6,0,10.0
119.6,112.0,24,-17.0
109.5,102.1,13,-5.0
110.0,70.7,48,-9.0
90.2,72.8,0,17.0
119.7,96.1,10,14.0
128.2,88.4,6,34.0
109.7,90.0,37,-18.0
118.3,78.5,0,40.0
125.7,96.4,0,29.0
106.2,93.9,5,7.0
107.4,96.6,54,-43.0
105.1,79.0,4,22.0
111.2,91.5,17,2.0
122.8,103.9,12,6.0
125.2,98.2,64,-37.0
134.6,83.6,2,49.0
135.4,99.2,5,31.0
144.3,126.0,13,5.0
110.4,97.4,6,7.0
121.6,99.6,7,15.0
131.6,108.2,9,14.0
130.3,103.7,46,-19.0
146.6,117.3,16,13.0
139.6,105.7,15,19.0
128.2,81.2,12,35.0
143.4,112.5,14,17.0
132.7,97.5,0,35.0
126.2,100.8,36,-11.0
114.9,109.2,76,-70.0
111.8,115.6,11,-15.0
123.0,97.3,2,23.0
122.9,110.5,0,12.0
125.9,116.3,18,-9.0
116.1,106.5,16,-7.0
110.1,95.3,21,-6.0
138.4,99.4,0,39.0
138.3,122.4,26,-10.0
119.0,103.7,0,15.0
130.0,122.1,17,-9.0
132.6,114.0,12,7.0
112.6,102.5,29,-19.0
141.8,109.1,10,23.0
135.6,128.1,64,-56.0
110.9,97.9,8,5.0
136.8,109.2,1,27.0
132.1,110.2,28,-6.0
100.0,100.2,12,-12.0
98.3,88.8,54,-44.0
136.9,98.9,35,3.0
121.9,101.8,69,-49.0
127.2,121.7,80,-74.0
138.5,121.7,43,-26.0
107.3,92.9,134,-120.0
105.8,90.4,0,15.0
118.9,97.2,39,-18.0
114.2,115.3,33,-34.0
103.2,100.6,5,-2.0
111.8,112.5,39,-39.0
99.6,91.4,41,-33.0
127.6,116.2,34,-23.0
118.0,96.0,0,22.0
91.5,71.7,0,19.0
109.5,92.2,52,-34.0
122.6,132.8,4,-14.0
117.4,104.6,11,2.0
115.6,98.6,5,12.0
116.9,129.1,90,-102.0
145.0,100.7,20,24.0
116.6,94.3,17,6.0
110.0,94.8,2,13.0
124.0,110.3,34,-21.0
119.3,77.6,10,32.0
107.5,99.3,56,-48.0
119.4,106.9,10,3.0
149.1,92.0,16,41.0
120.0,105.4,10,5.0
107.8,100.7,48,-41.0
125.8,103.0,6,17.0
106.9,120.0,20,-33.0
93.2,94.9,3,-5.0
119.1,86.4,45,-13.0
135.1,101.8,0,33.0
114.3,99.6,94,-79.0
129.9,78.4,6,46.0
121.6,113.5,41,-33.0
112.7,97.2,0,16.0
119.4,101.9,34,-16.0
101.9,109.3,0,-7.0
101.3,86.0,23,-8.0
126.4,127.4,49,-50.0
102.6,112.8,5,-15.0
93.9,102.8,67,-75.0
111.2,104.0,0,7.0
109.6,111.2,0,-2.0
119.7,97.0,25,-3.0
121.9,95.3,0,27.0
108.3,121.8,18,-31.0
123.4,103.5,20,-1.0
96.7,108.3,13,-25.0
109.3,77.7,5,27.0
85.0,82.1,0,3.0
122.4,85.6,27,9.0
120.0,111.9,2,6.0
96.6,96.0,34,-34.0
127.4,111.1,11,5.0
138.7,108.8,60,-30.0
100.6,79.9,11,10.0
131.9,101.0,19,11.0
107.6,95.0,26,-14.0
119.9,91.9,32,-4.0
99.0,79.8,25,-6.0
106.4,95.3,12,-1.0
122.6,91.4,42,-11.0
121.6,106.2,42,-27.0
111.8,96.3,13,3.0
98.3,96.3,30,-28.0
88.7,76.3,3,10.0
101.6,101.6,18,-18.0
151.9,134.1,30,-12.0
142.1,112.1,68,-38.0
116.1,95.5,12,9.0
113.6,107.3,0,6.0
120.9,115.1,0,6.0
115.0,111.2,31,-27.0
95.3,105.6,9,-19.0
110.9,134.0,13,-36.0
138.6,105.2,19,14.0
140.1,106.6,6,28.0
143.2,105.4,0,38.0
128.0,81.1,5,42.0
156.9,96.4,13,48.0
110.8,118.9,0,-8.0
118.6,103.7,14,1.0
135.8,99.6,26,10.0
128.1,102.0,0,26.0
132.4,100.5,0,32.0
126.7,121.5,53,-48.0
138.3,126.7,63,-51.0
100.5,104.5,0,-4.0
120.9,104.4,0,16.0
120.9,109.3,11,1.0
103.7,111.1,5,-12.0
107.0,89.6,1,16.0
112.5,90.2,1,22.0
131.5,112.2,23,-4.0
122.1,110.1,2,10.0
123.9,85.1,11,28.0
114.8,106.8,21,-13.0
99.6,97.9,4,-3.0
114.5,79.4,34,1.0
141.9,93.9,27,21.0
124.0,107.4,0,17.0
135.3,117.2,0,18.0
125.6,88.1,10,28.0
102.5,88.8,13,0.0
123.9,88.6,13,22.0
106.8,92.3,50,-35.0
110.5,105.6,17,-12.0
111.8,96.1,0,16.0
118.5,112.4,10,-4.0
142.4,100.5,0,42.0
137.3,103.2,9,25.0
127.1,107.4,25,-5.0
